total_cup_points,species,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,quakers,color,altitude_mean_meters
86.08,Arabica,Other,Other,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11,0,Bluish-Green,1754
86.08,Arabica,Brazil,Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,0.11,0,Blue-Green,1250
86,Arabica,Other,NA,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,0,0,NA,NA
86,Arabica,Colombia,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12,0,Green,1200
86,Arabica,Other,Other,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11,0,Green,1860
86,Arabica,Other,Other,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1,0,Blue-Green,1650
86,Arabica,Ethiopia,NA,NA,7.75,8.08,8,8.25,8,8,10,10,10,7.92,0.01,0,NA,1750
86,Arabica,"United States
(Hawaii)",NA,NA,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,0,0,NA,426.72
85.92,Arabica,Guatemala,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1,1,Green,NA
85.92,Arabica,Other,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12,0,Green,1650
85.92,Arabica,Colombia,Caturra,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,0,0,Blue-Green,1800
85.83,Arabica,Other,Other,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08,1,Bluish-Green,1600
85.83,Arabica,Ethiopia,NA,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1,0,Green,1900
85.83,Arabica,Guatemala,Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12,0,Green,1524
85.83,Arabica,Guatemala,Catuai,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1,0,Bluish-Green,1417.32
85.75,Arabica,Ethiopia,Caturra,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,0.09,4,None,NA
85.75,Arabica,Other,NA,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,8,0.1,0,Green,NA
85.75,Arabica,Other,NA,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0.12,0,Bluish-Green,1700
85.58,Arabica,Other,Bourbon,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1,0,Blue-Green,1500
85.58,Arabica,Other,Bourbon,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11,0,None,1350
85.58,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,8,0,0,NA,NA
85.5,Arabica,Other,Caturra,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,0.09,0,NA,1680
85.5,Arabica,Other,Other,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1,0,Green,1900
85.5,Arabica,Ethiopia,Other,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12,0,Green,1900
85.5,Arabica,Other,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,0.12,0,Green,1600
85.5,Arabica,Guatemala,Bourbon,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,0.11,0,Green,1731.264
85.42,Arabica,Ethiopia,NA,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,0.1,0,Green,1900
85.42,Arabica,Other,SL14,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,0.12,0,Green,1950
85.42,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,0,0,NA,NA
85.42,Arabica,Brazil,Bourbon,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,0.11,0,Blue-Green,1250
85.42,Arabica,Other,NA,NA,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,0.01,0,NA,1400
85.33,Arabica,Other,Catimor,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,0.1,0,Green,1700
85.33,Arabica,Guatemala,Other,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,0.11,0,Green,1770
85.33,Arabica,Costa Rica,Caturra,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0,0,Bluish-Green,1300
85.33,Arabica,Costa Rica,Caturra,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0.1,0,Bluish-Green,1300
85.33,Arabica,Other,Other,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,0,0,Green,1600
85.33,Arabica,Other,Other,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,0,0,Green,1200
85.33,Arabica,Ethiopia,NA,NA,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,0.05,0,NA,NA
85.33,Arabica,Ethiopia,Typica,NA,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,0.1,0,NA,NA
85.25,Arabica,Guatemala,Bourbon,NA,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,0.1,2,Green,NA
85.25,Arabica,Colombia,Caturra,Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,0.11,0,Green,1550
